admin_users | admin_users_pkey | PRIMARY KEY (id)
admin_users | admin_users_user_id_fkey | FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
admin_users | admin_users_user_id_key | UNIQUE (user_id)
ai_feature_limits | ai_feature_limits_pkey | PRIMARY KEY (id)
ai_feature_limits | ai_feature_limits_unique | UNIQUE (feature_name, subscription_tier)
ai_feature_usage | ai_feature_usage_feature_check | CHECK ((feature_name = ANY (ARRAY['job_fit_analysis'::text, 'cover_letter'::text, 'resume_analysis'::text, 'interview_prep'::text, 'career_advice'::text])))
ai_feature_usage | ai_feature_usage_pkey | PRIMARY KEY (id)
ai_feature_usage | ai_feature_usage_unique_user_feature_date | UNIQUE (user_id, feature_name, usage_date)
ai_feature_usage | ai_feature_usage_user_fkey | FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
ai_guest_conversions | ai_guest_conversions_pkey | PRIMARY KEY (id)
ai_guest_conversions | ai_guest_conversions_session_fkey | FOREIGN KEY (guest_session_id) REFERENCES ai_guest_sessions(id) ON DELETE CASCADE
ai_guest_conversions | ai_guest_conversions_unique_user | UNIQUE (user_id)
ai_guest_conversions | ai_guest_conversions_user_fkey | FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
ai_guest_rate_limits | ai_guest_rate_limits_pkey | PRIMARY KEY (id)
ai_guest_sessions | ai_guest_sessions_feature_check | CHECK ((feature_name = ANY (ARRAY['job_fit_analysis'::text, 'cover_letter'::text, 'resume_analysis'::text, 'interview_prep'::text, 'career_advice'::text])))
ai_guest_sessions | ai_guest_sessions_pkey | PRIMARY KEY (id)
ai_guest_sessions | ai_guest_sessions_user_fkey | FOREIGN KEY (converted_user_id) REFERENCES auth.users(id) ON DELETE SET NULL
ai_preview_sessions | ai_preview_sessions_feature_type_check | CHECK ((feature_type = ANY (ARRAY['resume_analysis'::text, 'job_fit'::text, 'cover_letter'::text, 'interview_prep'::text])))
ai_preview_sessions | ai_preview_sessions_pkey | PRIMARY KEY (id)
ai_preview_sessions | ai_preview_sessions_shareable_id_key | UNIQUE (shareable_id)
ai_preview_sessions | ai_preview_sessions_user_id_fkey | FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE SET NULL
ai_preview_usage | ai_preview_usage_pkey | PRIMARY KEY (id)
ai_trial_results | ai_trial_results_feature_check | CHECK ((feature_name = ANY (ARRAY['job_fit_analysis'::text, 'cover_letter'::text, 'resume_analysis'::text, 'interview_prep'::text, 'career_advice'::text])))
ai_trial_results | ai_trial_results_pkey | PRIMARY KEY (id)
